"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","480597","Employer downloads the other bank salary file using the establishment ID, modifies the file and generates the SIF file, then submits it for approval. The admin checks the salary approval and verifies both the original file and the SIF file at the checker and authorizer levels.","","Tue Jun 03 16:55:38 PKT 2025","failed","Tue Jun 03 17:03:39 PKT 2025","","ProcessSalariesDepositSlip","Employer downloads the other bank salary file using the establishment ID, modifies the file and generates the SIF file, then submits it for approval. The admin checks the salary approval and verifies both the original file and the SIF file at the checker and authorizer levels.",""
"","480812","Runs Cucumber Scenarios","Default Suite","Tue Jun 03 16:55:38 PKT 2025","failed","Tue Jun 03 17:03:39 PKT 2025","cucumberTestNGRunner","0b6cedae-98fd-4103-8fd9-6646225b54ac-result.json","cucumberTestNGRunner","runScenario"
